name,breakout,poster,doi
Rainer Fries,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 24",
Rajesh Kavasseri,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 49",
Ramin Zabih,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 28",
Renato Figueiredo,Building and retaining the CI workforce — Glen Echo,"Session III, Board 32",https://doi.org/10.6084/m9.figshare.33398995
Richard Knepper,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 40",https://doi.org/10.6084/m9.figshare.33416110
Ricky Mok,Building and retaining the CI workforce — Glen Echo,,
Robert Kirby,Future directions for cyberinfrastructure — Strathmore A,"Session II, Board 50",
Rong Ge,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 9",
Roxana Margine,Future directions for cyberinfrastructure — Strathmore A,"Session III, Board 18",https://doi.org/10.6084/m9.figshare.33477490
Ryan Kingsbury,Sustainability of research software and CI — Strathmore B,"Session I, Board 46",
Ryan Noe,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 52",
Ryan Sills,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 36",https://doi.org/10.6084/m9.figshare.33492841
S. Jay Park,Building and retaining the CI workforce — Glen Echo,"Session III, Board 30",
Sandra Gesing,Sustainability of research software and CI — Strathmore B,"Session IV, Board 18",
Sanmukh Kuppannagari,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 11",
Satish Nair,Sustainability of research software and CI — Strathmore B,"Session III, Board 26",
Sean Cleveland,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 24",
Shahab Shojaei-zadeh,,,
Shane Henderson,Building and retaining the CI workforce — Glen Echo,"Session III, Board 49",https://doi.org/10.6084/m9.figshare.33438340
Shane Mueller,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Sheikh Ghafoor,,,
